Latitude,Longitude,Occurrence Status
-34.0279,150.771,1
-34.821595,147.193697,1
-36.617759,146.882941,0
-37.4709,144.744,1
-38.400153,145.01856,1
-35.328601,150.401424,0
-38.394039,146.23123,0
-34.79867,144.945172,0
-38.000732,143.813159,0
-34.3455,148.272,1
-38.470705,145.26908,0
-37.243579,144.102252,1
-35.015442,150.82844,1
-34.949843,149.483145,1
-34.125963,150.559934,1
-34.789365,145.982271,0
-34.3694,150.544,1
-34.344694,149.667427,1
-37.964772,141.046056,0
-34.558865,145.260698,0
-36.996996,140.607947,0
-35.068339,146.274592,1
-38.162099,145.176004,1
-37.5838,140.318,1
-34.6051,150.147664,0
-36.995598,145.768997,0
-34.6169,148.399,1
-32.83622,148.336145,0
-33.2124,147.241,1
-36.053591,147.386896,0
-35.4433,150.397,1
-36.0195,146.35,1
-37.128431,145.238809,1
-36.8127,144.236,1
-37.564516,144.089689,1
-35.067593,146.273691,1
-35.956486,146.002457,1
-31.382847,149.342748,0
-36.43704,148.781093,0
-34.7306,150.835,1
-34.354,150.808,1
-35.7884,146.034,1
-37.0375,143.694,1
-36.404308,146.688094,0
-36.8937,144.534,1
-34.0771,150.522,1
-34.984874,149.09543,0
-37.92502,145.326728,1
-35.444736,148.217283,0
-35.211735,149.237769,0
-34.675948,143.705219,0
-35.782795,147.448031,1
-34.285102,150.243522,1
-35.100136,149.373532,1
-35.456636,149.138897,0
-34.284525,148.307785,1
-36.0708,146.852,1
-32.512773,147.666211,0
-35.480351,148.426678,0
-34.8554,149.147,1
-34.916802,143.881709,0
-38.152415,144.378035,1
-36.794114,145.386164,0
-33.6193,150.161,1
-33.727419,144.789485,0
-38.209765,144.18425,0
-34.018556,146.806656,0
-35.2757,143.039212,0
-37.2055,145.681,1
-36.557624,146.077986,1
-36.097515,146.638735,0
-36.398464,150.060302,1
-36.723858,144.306887,1
-33.3986,149.469,1
-35.046703,144.152692,0
-35.3424,149.342,1
-37.6087,143.587,1
-33.850392,147.681376,0
-37.538663,147.778758,0
-37.270073,145.282052,1
-34.4461,150.448,1
-38.528687,145.783973,1
-37.841535,145.136977,1
-34.942505,149.248978,1
-35.2351,149.161,1
-37.836058,147.694374,0
-34.560984,150.823749,1
-36.240736,146.994757,0
-38.141217,141.928189,0
-37.905508,144.28225,0
-36.912464,140.374872,0
-33.421471,147.20007,0
-36.618134,144.633851,0
-33.569118,150.657334,1
-31.826889,149.232244,1
-36.661747,145.669615,0
-38.119078,146.021973,1
-35.988041,148.11838,0
-37.856436,145.319714,1
-33.836719,151.053018,1
-36.822406,142.407266,0
-37.5479,145.124,1
-34.154022,150.503451,1
-37.793964,145.303467,1
-36.16478,149.738221,0
-37.543644,149.021866,0
-36.8983,144.804,1
-37.988021,147.121442,1
-38.246171,143.900143,0
-35.2151,149.02,1
-35.5626,149.814,1
-36.42932,148.358872,1
-32.570057,148.935248,0
-37.570488,149.762933,1
-35.785043,148.34682,0
-36.767292,148.716562,0
-35.813608,146.003078,1
-36.371598,145.449455,1
-33.737506,149.546929,0
-33.4493,150.635,1
-34.456427,149.245898,0
-37.279893,141.500049,0
-33.9889,151.026,1
-33.685777,146.152438,0
-37.5207,145.785,1
-36.368164,142.980717,1
-38.7433,143.672,1
-34.83458,144.924416,0
-35.1678,147.35,1
-36.6329,146.344,1
-37.5488,143.68,1
-33.897545,147.322577,0
-38.344942,146.327216,0
-37.041306,142.357555,0
-35.931002,145.662188,1
-37.653363,149.06372,0
-37.564571,140.77066,0
-35.681933,149.909062,0
-38.841988,143.54224,1
-35.099636,149.566102,0
-34.6054,150.621,1
-36.838928,141.59985,0
